news, edge, error, cent, holiday, shake, hair, snakes, toad, window, space, cemetery, fang, chance, development, spy
0, 1, 0, 0, S, 1, 0.003906, fffffffeb7c74dd4, 1, 0, 2804, beam, 3.001953, 37, 215.024461, 460
1, 0, 1, 1, F, 1, 587.769531, 1422358, 1, -1, 12, seed, 7.253906, 83880716, -0.000010, 84820
0, 0, 1, 1, X, 1, -0.007324, 1, 1, 79, 2, show, -2083.744141, 46, -0.097176, 460
0, 1, 1, 0, g, 0, 7.368164, ffffffffddbb2a79, 1, 3, 65, snow, 1059226.144531, 26, 107.251154, 18661872
0, 0, 0, 1, S, 1, -0.004395, 9e3e5d007ec5c739, 0, 56, 34309, test, -0.001953, 2858451779692259, -1.351786, 19
0, 1, 0, 0, *, 1, 0.008789, fffffffffffac9b8, 1, 1, 2, lunchroom, -1158298.501953, 13541537585, 0.036854, 2732
1, 0, 1, 1, M, 0, -0.003418, 66248b2343c5, 1, 35, 10, knowledge, 0.001953, 802029866389, 27.188425, 0
1, 0, 0, 1, 2, 1, 425445.781250, 563f91e193afcc16, 0, -1, 2, robin, -0.001953, 13541537585, -0.001279, 84820
0, 1, 0, 1, M, 0, 0.000977, 9e3e5d007ec5c739, 1, -100, 181, police, 36012.160156, 281453471430435481, -0.465090, 5
0, 1, 1, 0, g, 1, 7.368164, 872dd1, 1, 0, 4257, snow, 1059226.144531, 0, 0.027533, 1
0, 1, 0, 0, g, 0, 7.368164, ffffffffddbb2a79, 0, 3, 4257, snow, 287.101562, 13194, 249.958405, 18661872
0, 1, 1, 1, W, 0, 6.530273, f6ed684a4a, 1, 113, 65, snow, 1059226.144531, 26448841, 0.000011, 2499883199
1, 1, 1, 0, x, 0, -7.416016, ffffffff967ec42d, 0, 113, 6552, tray, 48.892578, 455637251700972, 1.000000, 2499883199
1, 1, 1, 1, x, 0, -0.024414, fffffffb52779c4b, 0, 113, 0, giants, 48.892578, 455637251700972, -241.413941, 2499883199
1, 1, 1, 1, &, 1, -1504.832520, 3272f912efdb3, 0, -1, 38475, vegetable, 7.253906, 16175901962791507084, 0.000000, 497827
0, 1, 1, 0, *, 1, 0.008789, fffffffffffac9b8, 1, 1, 2, lunchroom, -1158298.501953, 13541537585, 0.036854, 2732
1, 0, 0, 1, t, 0, -106.428711, 4d0d8cf8042cc, 0, -3, 0, , 22561.394531, 61624444229426991, -0.288739, 0
0, 0, 0, 1, S, 1, -0.004395, 9e3e5d007ec5c739, 0, 56, 154, test, -1.546875, 2858451779692259, -1.351786, 19
1, 1, 1, 1, 7, 0, 213903.515625, ee889b40844, 1, -16, 2380, stomach, 1.000000, 10, 0.022852, 511
1, 0, 1, 1, ., 0, 1.000000, ffffffff967ec42d, 0, 113, 65, snow, 2906.755859, 26448841, 0.000011, 2499883199
1, 1, 0, 1, 2, 1, -747.354492, 563f91e193afcc16, 1, 9, 124, plot, -15340.080078, 4298686645358453, -0.000010, 84820
1, 0, 1, 0, 7, 1, 213903.515625, fffffffffffac9b8, 0, 1, 1, , -1158298.501953, 198557475791218285, 0.022852, 2732
1, 1, 0, 1, *, 0, 0.008789, ee889b40844, 0, -16, 2380, stomach, 1.000000, 198557475791218285, 0.036854, 511
1, 1, 0, 1, 6, 0, 0.147949, 66248b2343c5, 0, -3, 111, decision, 22561.394531, 61624444229426991, -0.288739, 0
0, 0, 1, 0, Q, 0, 213903.515625, ee889b40844, 1, 79, 2, show, 1.000000, 46, 0.031947, 511
1, 1, 1, 0, *, 0, 0.005859, ffffffffddbb2a79, 1, 3, 759, swim, 0.009766, 1200, -0.038930, 18661872
1, 0, 1, 0, *, 1, -1504.832520, 3272f912efdb3, 1, -119, 38475, hobbies, 7.253906, 16175901962791507084, 0.000000, 497827
0, 1, 1, 1, c, 0, -106.428711, ffffff7429dc790f, 1, -3, 12, decision, 64996.363281, 83880716, 0.007524, 0
0, 0, 1, 1, i, 0, -0.000000, 1, 1, 79, 2, show, -2083.744141, 46, -0.097176, 460
1, 0, 0, 1, t, 0, -106.428711, 4d0d8cf8042cc, 0, -80, 1, , 22561.394531, 61624444229426991, -0.000000, 0
1, 1, 1, 1, G, 1, -407390.781250, ffffffff967ec42d, 1, 113, 417, , 1.591797, 455637251700972, 0.000011, 2499883199
1, 0, 0, 0, 2, 0, 587.769531, 2c2008db6, 1, 24, 1102, box, 1249644.552734, 1072147739275749660, -0.000010, 84820
0, 1, 0, 0, X, 0, 7.368164, 872dd1, 0, 0, 4257, police, -864.570312, 0, -0.000033, 1
1, 0, 0, 0, F, 0, 587.769531, ffff692fcd690919, 1, 24, 1102, box, 1249644.552734, 1072147739275749660, -0.000010, 84820
1, 0, 1, 0, *, 0, 186443.593750, 3272f912efdb3, 1, 3, 38475, flesh, 0.009766, 64633162894861984, -177.301694, 3440352
0, 1, 0, 1, 6, 0, -106.428711, ffffff7429dc790f, 0, -3, 111, decision, 64996.363281, 1, 0.007524, 0
1, 1, 0, 1, k, 1, -481890.031250, 9e3e5d007ec5c739, 0, 56, 82, test, -864.570312, 1080896760, 0.000429, 5
